datum,dag,tijd,team,tegenstander,veld,wedstrijdnummer,scheidsrechter,opmerking,locatie
2026-07-04,ZA,12:40,BB/Nept VSU15-1,Tex Town Tigers VSU15-1,D3,479838,VS-2,,thuis
2026-07-05,ZO,14:00,Neptunus - MH-2,Hoofddorp Pioniers - MH-2,Stadion,452006,,,thuis
2026-07-05,ZO,10:00,Neptunus - MHU12-1,HCAW - MHU12-1,D1,477934,MHU15-1,,thuis
2026-07-05,ZO,11:25,Neptunus - MHU12-1,HCAW - MHU12-1,D1,478006,MHU15-1,,thuis
2026-07-05,ZO,13:30,BB/Nept VSU21-1,Almaria Vitrix VSU21-1,D1,479376,MHU21-1,,thuis
2026-07-05,ZO,15:30,BB/Nept VSU21-1,Almaria Vitrix VSU21-1,D1,479406,MHU21-1,,thuis
2026-07-05,ZO,14:00,Neptunus - MH-3,Blue Birds - MH-1,D2,472167,MH-4,,thuis
2026-07-05,ZO,10:00,Neptunus - MHU15-2,Saints - MHU15-1,D3,477083,MHU21-1,,thuis
2026-07-05,ZO,14:00,Neptunus - MHU12-2,Blue Birds - MHU12-1,D3,478246,MHU15-2,,thuis
2026-07-10,VR,19:30,Neptunus - MS-1,Vlaardingen Holy - MS-3,D1,474854,Ard,,thuis
2026-07-11,ZA,12:00,Neptunus - MH-1,UVV - MH-1,Stadion,451852,,,thuis
2026-07-11,ZA,14:30,Neptunus - MH-1,UVV - MH-1,Stadion,451855,,,thuis
2026-07-11,ZA,10:00,Neptunus - MHU12-3,Zwijndrecht - MHU12-2,D1,478921,MHU15-2,,thuis
2026-07-11,ZA,12:00,BB/Nept VSU21-1,Centrals VSU21-1,D1,,VS-2,,thuis
2026-07-11,ZA,10:00,Rotterdam Unicorns - MHU21-1,Scimitars Midden Nederland - MHU21-1,D2,475652,,,thuis
2026-07-11,ZA,12:30,Rotterdam Unicorns - MHU21-1,Scimitars Midden Nederland - MHU21-1,D2,475661,,,thuis
2026-07-11,ZA,10:00,Rotterdam Unicorns - MHU15-1,Scimitars Midden Nederland - MHU15-1,D3,475672,,,thuis
2026-07-11,ZA,12:30,Rotterdam Unicorns - MHU15-1,Scimitars Midden Nederland - MHU15-1,D3,475681,,,thuis
2026-07-12,ZO,10:00,Neptunus - MHU21-1,Twins - MHU21-1,D2,475818,?,,thuis
2026-07-17,VR,19:30,Neptunus - MH-4,Vlaardingen Holy - MH-2,D2,482894,Henk,verzet ivm Toffler,thuis
2026-07-23,DO,19:30,Neptunus - MH-1,Kinheim - MH-1,Stadion,451867,,,thuis
2026-08-01,ZA,12:00,Neptunus - MH-1,Amsterdam Pirates - MH-1,Stadion,451879,,,thuis
2026-08-01,ZA,14:30,Neptunus - MH-1,Amsterdam Pirates - MH-1,Stadion,451882,,,thuis
2026-08-22,ZA,10:00,Neptunus - MHU15-1,Grizzlies - MHU15-1,D1,482443,MHU21-1,verzetten (datum???),thuis
2026-08-23,ZO,10:00,Neptunus - MHU12-1,Grizzlies - MHU12-1,D1,477943,MHU15-1,,thuis
2026-08-23,ZO,11:25,Neptunus - MHU12-1,Grizzlies - MHU12-1,D1,478015,MHU15-1,,thuis
2026-08-23,ZO,14:00,Neptunus - VSU21-1,Grizzlies - VSU21-1,D1,479352,bond,,thuis
